continent,iata
OC,UTK
NA,OCA
NA,PQS
NA,CSE
NA,JCY
NA,PMX
NA,WLR
NA,NUP
NA,PTC
NA,ICY
NA,PPV
NA,KKK
NA,MHS
NA,NIR
NA,GCT
NA,ELW
NA,LVD
NA,HGZ
NA,OTN
NA,TLF
NA,BZT
NA,HBH
NA,FAK
NA,BYW
NA,DRF
NA,BDF
NA,VRS
NA,GDH
NA,ATT
NA,LIV
NA,PDB
NA,KOZ
NA,TNK
NA,EVA
NA,WHD
NA,MNT
NA,TKI
NA,WKK
NA,WFB
NA,NNK
NA,BKF
NA,BCS
NA,SPQ
NA,TSS
NA,QNY
NA,BWL
NA,WYB
NA,CWS
NA,TEK
NA,DUF
NA,SSW
NA,FOB
NA,PUL
NA,CCD
NA,WMK
NA,AXB
NA,REE
NA,WDN
NA,WWP
NA,CHU
NA,UGS
NA,MXG
NA,PSQ
NA,KLL
NA,SGW
NA,WTL
NA,TWA
NA,KCQ
AF,AAD
OC,ABP
OC,ABW
EU,ALV
OC,ADC
AF,ADV
AS,DJH
AF,AEE
EU,AEI
OC,AEK
AS,AEQ
AS,URZ
AS,OLR
AS,AFK
OC,AFR
OC,AFT
OC,RNA
OC,ATD
OC,VEV
OC,GEF
OC,AGG
OC,AKS
OC,BNY
OC,CHY
OC,BAS
OC,FRE
OC,HIR
OC,MBU
OC,AVU
OC,IRA
OC,SCZ
OC,MUA
OC,GZO
OC,MNY
OC,PRS
OC,OTV
OC,RNL
OC,EGM
OC,NNB
OC,RUS
OC,VAO
OC,XYA
OC,AGK
OC,KGE
OC,KUE
OC,KWS
OC,AGL
OC,NAZ
OC,RIN
OC,RBV
OC,TLG
OC,AGY
AS,AHJ
NA,AHT
AF,AHY
OC,AIE
OC,AIH
OC,AIC
NA,CEX
NA,SOL
NA,HED
NA,TWE
NA,KTH
NA,NKI
NA,LNI
NA,CDL
NA,AOS
NA,BSZ
NA,BSW
AF,AKM
NA,TGE
NA,ALZ
NA,PPE
AF,AME
OC,AMF
OC,AMU
AF,AMY
OC,ANH
OC,INU
OC,ANZ
AF,ANL
AF,CNZ
AF,DRC
AF,GGC
AF,JMB
AF,KNP
AF,NDF
OC,AOA
OC,AOB
AF,AOD
OC,APP
OC,APR
AN,QET
NA,AQY
SA,QRF
SA,CVI
SA,CNT
SA,VGS
SA,LMD
SA,SZQ
SA,VCF
SA,NCJ
SA,CPG
SA,PRQ
